"SessionKey","FileName","Modified","OutTxtStatus"
"TypeK_Briefing",".18_Spanky_TypeK_Briefing_20251009_024352.zip","2025-10-08 10:44:02 PM","[STATUS] items=5 transcripts=1 payload=0 notes=1 summaries=0"
"CoAgentBranding",".17_Spanky_CoAgentBranding_20251009_022926.zip","2025-10-08 10:29:31 PM",
"CoCacheReset",".15_Spanky_CoCacheReset_20251008_222429.zip","2025-10-08 10:24:46 PM",
"CoAgency",".13_Spanky_CoAgency_20251009_022055.zip","2025-10-08 10:23:43 PM",
"CoWrap_SessionExport",".14_Spanky_CoWrap_SessionExport_20251009_021857.zip","2025-10-08 10:20:20 PM","[STATUS] items=0 transcripts=1 payload=0 notes=0 summaries=0"
"CoWrap_SessionClosure",".12_Spanky_CoWrap_SessionClosure_20251009_021554.zip","2025-10-08 10:16:03 PM","[STATUS] items=14 transcripts=1 payload=3 notes=8 summaries=3"
"CoCoreSessionWrap",".11_Spanky_CoCoreSessionWrap_20251009_021250.zip","2025-10-08 10:13:59 PM","[STATUS] items=2 transcripts=1 payload=0 notes=1 summaries=0"
"BPOE-A1",".9_Spanky_BPOE-A1_20251008_000000.zip","2025-10-08 04:36:16 AM","[STATUS] items=37 transcripts=2 payload=16 notes=9 summaries=3"
"CCSeedWrap",".8_Spanky_CCSeedWrap_20251008_020133.zip","2025-10-07 10:07:50 PM","[STATUS] items=24 transcripts=1 payload=11 notes=9 summaries=3"
"CoCiviumFaiths",".6_Spanky_CoCiviumFaiths_20251008_015909.zip","2025-10-07 09:59:22 PM","[STATUS] items=17 transcripts=1 payload=2 notes=9 summaries=3"
"CoMap",".5_Spanky_CoMap_20251007_215725.zip","2025-10-07 09:58:13 PM",
"CoAgentLockupBPOE",".3_Spanky_CoAgentLockupBPOE_20251007_214950.zip","2025-10-07 09:50:33 PM",
"CoAgentHealthGate",".2_Spanky_CoAgentHealthGate_20251008_014548.zip","2025-10-07 09:46:27 PM","[STATUS] items=20 transcripts=1 payload=7 notes=9 summaries=3"
"examples",".1_Spanky_examples_20251008_004552.zip","2025-10-07 08:53:12 PM",
