"FullName","Length","LastWriteTime"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\bpoe\DEPRECATE_Civium_Runbook.md","2565","2025-09-18 08:21:49 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\bpoe\ERROR_TAXONOMY.md","847","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\bpoe\HANDOFF_TEMPLATE_GenericAdvisory.md","609","2025-09-18 08:21:49 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\bpoe\Migration_Log.md","616","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\bpoe\PREAUTHORIZATIONS.md","1050","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\bpoe\PREFERENCES.md","1281","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\bpoe\README.md","169","2025-09-18 08:21:49 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\bpoe\SESSION_PLAN_GrandMigration.md","2141","2025-09-18 08:21:49 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\bpoe\THIN_SHIMS.md","983","2025-09-18 08:21:49 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\bpoe\TRUST_POLICY.md","816","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\CoTips\CoTip-PS7-001.md","643","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\CoTips\CoTip-PS7-002.md","490","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\CoTips\CoTip-PS7-003.md","498","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\CoTips\index.md","568","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\lifepath\MasterPlan_RickBallard_v1.md","1191","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\migration\LEFTOVERS_Register.md","762","2025-09-18 08:21:49 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\ops\CHAT_BLOAT.md","1176","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\ops\ISSUEOPS.md","753","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\ops\LINK_SWEEP.md","547","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\ops\PREAUTHORIZE.md","1222","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\ops\STRATEGY.md","1023","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\ops\WORKFLOW_NORMS.md","1134","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\plans\MASTER_PLAN.md","1412","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\status\BPOE.md","410","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\status\README.md","193","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\streams\BizDev\README.md","360","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\streams\Infra\README.md","359","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\streams\Ops\README.md","357","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\streams\Product\README.md","361","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\streams\TBD\README.md","1673","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\wisdom\advicebombs\2025-09-15_advicebomb-thread-integration.md","1219","2025-09-18 08:21:49 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\bpoe-status.md","85","2025-09-18 08:21:49 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\BPOE_NORMS.md","972","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\DIVERSION_LOG.md","1016","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\ISSUEOPS.md","663","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\docs\ROADMAP.md","1203","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\GrandReset\AdviceBombs\README.md","36","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\GrandReset\intake\repo_inventory.template.md","356","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\GrandReset\intake\session_intake.template.md","214","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\GrandReset\GrandResetManifest.md","6559","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\GrandReset\out.txt","677","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\GrandReset\_CoAgency_StatusNote.txt","561","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\index\COWRAPS_250904.md","369","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\index\IDEACARDS_250904.md","1214","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\index\OE_STATUS.md","423","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\index\TRUST_STATUS.md","406","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\advice_bombs\advice_misinformation_module_20250915.md","1287","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\BM_OpsBrief_amnestyops-vectors-compliance_v1.0.md","824","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\BM_Thesis_black-gray-market-on-ramps-amnesty-economics_v1.0.md","777","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\BN_Story_being-noname_v1.0.md","484","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\CA_OpsBrief_coagent-ops-runtimes-watchers_v1.0.md","824","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\CA_Thesis_coagent-orchestration-autonomy-bpoe_v1.0.md","770","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\CC_OpsBrief_govhardening-ops-seat-caps-juries_v1.0.md","827","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\CC_Thesis_counter-capture-governance-hardening_v1.0.md","769","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\CD_OpsBrief_cadi-ops-drills-standards_v1.0.md","820","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\CD_Thesis_cadi-planetary-defence-non-kinetic-defence_v1.0.md","777","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\CG_OpsBrief_congruenceops-scoring-dashboards_v1.0.md","827","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\CG_Thesis_congruence-theory-metrics-ethics_v1.0.md","767","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\CM_OpsBrief_cocache-ops-heartbeats-cowrap_v1.0.md","824","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\CM_Thesis_cocache-memory-sidecar-architecture_v1.0.md","770","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\CP_OpsBrief_crisisops-cop-playbooks_v1.0.md","816","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\CP_Thesis_crisis-management-posture-exception-rules_v1.0.md","776","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\DI_OpsBrief_infointegrity-ops-provenance-claims_v1.0.md","830","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\DI_Thesis_disinformation-info-integrity-truth-tracking_v1.0.md","779","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\EC_OpsBrief_econops-cofinance-mechanics_v1.0.md","820","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\EC_Thesis_economic-model-menzies-model_v1.0.md","761","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\ED_OpsBrief_eduops-pathways-badges_v1.0.md","817","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\ED_Thesis_education-stewardship-civic-curriculum_v1.0.md","773","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\FF_OpsBrief_finflow-ops-gateways-ledgers_v1.0.md","822","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\FF_Thesis_finflow-dues-tax-compliance_v1.0.md","762","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\FN_OpsBrief_fundops-guardrails-transparency_v1.0.md","826","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\FN_Thesis_funding-neutrality-anti-capture-finance_v1.0.md","774","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\GB_OpsBrief_groupbuild-ops-rituals-moderation_v1.0.md","828","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\GB_Thesis_community-ops-groupbuild-onboarding_v1.0.md","770","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\HR_OpsBrief_roleops-fluid-roles-safeguards_v1.0.md","825","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\HR_Thesis_human-factors-roles-rbac-successor_v1.0.md","768","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\HX_OpsBrief_ethicops-decision-policies_v1.0.md","819","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\HX_Thesis_ethics-philosophy-first-principles_v1.0.md","769","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\IA_OpsBrief_agencyops-rights-grants-revocation_v1.0.md","830","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\IA_Thesis_identity-agency-credentials-ai-agency_v1.0.md","774","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\IP_OpsBrief_interopops-apis-schemas-audits_v1.0.md","826","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\IP_Thesis_interop-protocols-civic-interface-stack_v1.0.md","772","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\JL_OpsBrief_jurisops-entity-setup-exit_v1.0.md","821","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\JL_Thesis_jurisdictions-legal-shell-safe-havens_v1.0.md","772","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\KA_OpsBrief_knowops-taxonomy-chunking_v1.0.md","820","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\KA_Thesis_knowledge-architecture-evomap-gibindex_v1.0.md","773","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\LL_OpsBrief_limitalops-interfaces-safeguards-pack_v1.0.md","832","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\LL_Thesis_lex-liminalis-the-coexistence-doctrine_v1.0.md","771","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\MY_OpsBrief_mythops-companion-guides-bridges_v1.0.md","827","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\MY_Thesis_mythos-narrative-hybrid-society-canon_v1.0.md","772","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\OB_OpsBrief_openbank-ops-connectors-consent_v1.0.md","825","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\OB_Thesis_open-banking-data-trusts-principles_v1.0.md","770","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\OS_OpsBrief_openops-cla-licences-releases_v1.0.md","825","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\OS_Thesis_open-source-ip-licensing-for-hybrids_v1.0.md","771","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\PC_OpsBrief_policyops-templates-analyzers_v1.0.md","824","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\PC_Thesis_policy-commons-copolicy-db_v1.0.md","759","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\PT_OpsBrief_pt-ops-escrow-disclosure_v1.0.md","819","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\PT_Thesis_privacy-transparency-balance-auditable-secrecy_v1.0.md","781","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\RT_OpsBrief_reptag-ops-incentives-vectors_v1.0.md","823","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\RT_Thesis_reputation-thesis-reptag-model_v1.0.md","763","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\SA_OpsBrief_cosafe-ops-due-process-explainability_v1.0.md","832","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\SA_Thesis_safety-integrity-cosafe-doctrine_v1.0.md","767","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\SP_OpsBrief_speechops-policies-appeals_v1.0.md","821","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\Insights\SP_Thesis_speech-moderation-rights-across-borders_v1.0.md","774","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\cowraps\session_250904\20250904_cowrap-from-bloated-session.md","612","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\cowraps\session_250904\20250904_post-migration-droppings-polish-pmds-plan-session-summary.md","6890","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\ideacards\session_250904\20250904_idea-card-contributor-merge-policy-for-cocivium.md","2269","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\ideacards\session_250904\20250904_idea-card-session-bloat-mitigation-ai-operating-limits.md","1861","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\ideacards\session_250904\20250904_idea-card-silent-fail-diagnostics-file-visibility-checker.md","1680","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\ideacards\session_250904\20250904_ideacard-coparser.md","614","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\ideacards\session_250904\20250904_ideacard-kickopenai-partnership-req-and-workflow-issues.md","728","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\ideacards\session_250904\20250904_ideacard-mergerightsandreputation-20250903.md","690","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\ideacards\session_250904\20250904_ideacard-monetizationoptioning-cocivium-20250903.md","707","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\ideacards\session_250904\20250904_ideacard-session-resilience.md","644","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\ideacards\session_250904\20250904_ideacard-sessionbloatdiagnostics-dashboard-20250903.md","716","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\staging\session_250904\raw\IdeaCard_ContributorMergePolicy_20250903.md","1985","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\staging\session_250904\raw\IdeaCard_SessionBloatMitigation_20250903.md","1561","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\staging\session_250904\raw\IdeaCard_SilentFailDiagnostics_20250903.md","1374","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\intake\staging\session_250904\raw\PMDS_Plan_2025-09-04.md","6693","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\links\README.md","439","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\log\2025-08-09.md","429","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\log\README.md","359","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\path\to\fileA.md","17","2025-10-05 08:06:03 AM"
"C:\Users\Chris\Documents\GitHub\CoCache\path\to\fileB.md","5","2025-10-05 08:06:03 AM"
"C:\Users\Chris\Documents\GitHub\CoCache\plans\master\README.md","388","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\reports\bpoe-preflight_2025-09-04.md","584","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\sessions\mvp3\POINTERS.md","274","2025-09-23 07:03:49 AM"
"C:\Users\Chris\Documents\GitHub\CoCache\templates\CoWrap.template.md","514","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\templates\IdeaCard.template.md","509","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\templates\SESSION_BOOTSTRAP.txt","409","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\templates\SESSION_WRAPUP.md","455","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\templates\WORKQUEUE.md","534","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\todo\CoC_TODO.md","459","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\todo\README.md","391","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\HumanIndex.md","254","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\INITIAL_COMMIT.txt","95","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\README.md","14633","2025-10-05 07:28:56 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\ROADMAP.md","500","2025-09-15 05:05:46 PM"
"C:\Users\Chris\Documents\GitHub\CoCache\SECURITY.md","552","2025-09-15 05:05:46 PM"
