Channel Name,Handle & Subscribers,Description
"CNN-News18 is your trusted source for breaking news, updates, and in-depth analysis from around the world. CNN-News18 is dedicated to bringing you the latest news, trends, and insights, helping you stay informed and up-to-date. Subscribe Now and join our community of informed and engaged viewers. Hit the notification bell to stay updated on our latest videos and live streams.",ColdFusion,@ColdFusion • 5.05M subscribers
"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here. This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere. Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today. --- New Thinking Book written by Dagogo Altraide --- Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Book Authority! Audio Book: https://goo.gl/p8auh3 Get the book on Amazon US: http://bit.ly/NewThinkingbook Amazon India Link: https://goo.gl/qJCC1T Amazon UK link: https://goo.gl/RBxisf Ebook on Google Play: http://bit.ly/NewThinkingGooglePlay MERCH: INTERNATIONAL: https://store.coldfusioncollective.com/ AUSTRALIA: https://shop.coldfusioncollective.com/ Contact | *Business ONLY* dagogo@coldfusioncollective.com Join the fun on instagram: @ColdFusiontv Facebook | www.facebook.com/coldfusiontv",David McWilliams,@davidmcwill • 10.5K subscribers
"Videos, new and old, from David's work as an economist, author and broadcaster.",David Pakman Show,@thedavidpakmanshow • 3.25M subscribers
"The David Pakman Show is one of the most watched independent progressive programs in the country. Subscribe for daily new clips, interviews, debates, panels, and commentary. The daily video podcast goes live at 9pm Eastern time every weekday, and new clips are posted throughout the day.",Denys Davydov,@DenysDavydov • 890K subscribers
Go to https://ground.news/denys for local and global updates on Ukraine. Every road is a home and every road is the home way. Find your road on road home... Telegram: t.me/pilotblog,DogsnHomes Rescue,@dogsnhomesrescue4951 • 1.12K subscribers
"DogsnHomes finds forever homes for rescued dogs in the UK. We try to match the right dog to the right home. We are a small and hands on rescue, that looks at each dog and each home on their own merit. The dogs are not in kennels but are in foster homes in and around Fleet, Hampshire to be assessed before finding the perfect match. #fleetdogrescue #dogsnhomes #adoptdontshop #rescuepuppies#rescuedogsofinstagram #adoptapuppy #savealife #portugalpuppies #adoptapuppy",Economics Explained,@EconomicsExplained • 2.77M subscribers
Everyday Economist,@EverydayEconomist • 7.53K subscribers,"Welcome to our educational channel. This a platform dedicated to examining the intricate connections between economics, geopolitics, and public policy. The content focuses on analyzing how economic decisions influence political strategies, international relations, and societal outcomes. Topics include global trade dynamics, fiscal and monetary policies, the causes and consequences of economic crises, and the role of institutions in shaping policy frameworks. The channel delves into the economic underpinnings of major geopolitical events, exploring how market trends, resource allocation, and financial systems drive global conflicts, cooperation, and innovation. It aims to provide a deeper understanding of the forces that shape economies and their ripple effects on national and international levels. Content is designed to be clear, detailed, and informative, catering to anyone interested in the critical intersections of economics and global affairs."
Froto916,@froto916 • 23 subscribers,Good Work
@GoodWorkMB • 1.17M subscribers,Edge-cutting business news.,Hindsight
@HindsightYT • 306K subscribers,"Experience the events that shaped our world, with hindsight.",HMexperience
@HMexperience • 6.74K subscribers,"Topics of importance for whether the future will be better or worse. HMexperience is authored by PhD, H. Mathiesen and reflects his personal beliefs and perspectives on the topics that are discussed and analyzed. HMexperience is seeking to be as truthful as possible so claims made are documented by clickable links to other internet resources. This documentation can be found by following the link below each video published at HMexperience.",Inductica
@Inductica • 10.4K subscribers,"The Inductive Physics Project's mission is to make new discoveries in physics through the following process: 1. Write a theory of induction, a systematic method for proving scientific conclusions from observation with certainty. 2. Use this theory of induction to reprove all the essentials of known physics. This will allow us to look at the observations of quantum and relativistic phenomena afresh without the dubious prior assumptions inherent in the flawed theories of Quantum Mechanics and General Relativity. 3. Using a rational reconceptualization of the phenomena known to modern physics, The Inductive Physics Project will use this reformed conceptualization to make new discoveries in physics.",Jake Broe
@JakeBroe • 620K subscribers,I am a United States Air Force veteran who served as a Nuclear and Missile Operations Officer (13N). Subscribe to my channel for update videos on the war in Ukraine as well as conversations with engaging podcast guests. I will never leave a comment telling you to message me on any other app or service. Report scam accounts. ? LET’S CONNECT ? ? Bluesky @RealJakeBroe.bsky.social ? https://bsky.app/profile/realjakebroe.bsky.social ? Instagram/Facebook @JakeBroe ? https://www.instagram.com/jakebroe/ ? Twitter @RealJakeBroe ? https://twitter.com/RealJakeBroe ? Become a channel member ? Best way to support me: ? ? ? https://www.youtube.com/channel/UCYHosdETLPp6dpJEsgIUTmw/join Buy Me a Coffee ☕️ https://www.buymeacoffee.com/jakebroe My Patreon Page: https://www.patreon.com/join/jakebroe,JOHN ROBB
@JOHNROBBofficial • 9.4K subscribers,John Robb in conversations and Membranes music,Johnny Harris
@johnnyharris • 6.79M subscribers,Independent journalist making videos that help you better understand the world Support my work here: https://www.patreon.com/johnnyharris Inquiries: newpress@unitedtalent.com,Marques Brownlee
@mkbhd • 20.1M subscribers,MKBHD: Quality Tech Videos | YouTuber | Geek | Consumer Electronics | Tech Head | Internet Personality! business@MKBHD.com NYC,Maxinomics
@Maxinomics • 137K subscribers,I dig into the mega trends pushing business and markets,MeidasTouch
@MeidasTouch • 5.07M subscribers,"The fastest growing independent news network in the world. We cover breaking news, politics, law and more. We are unapologetically pro-democracy. Because TRUTH is golden.",Money & Macro
@MoneyMacro • 589K subscribers,Keeping you properly informed about the global economy,Nathan Rich
@NathanRichHotpot • 487K subscribers,"China modern history, US foreign policy regarding China, random stuff. Political, sensitive, controversial videos are routinely ❌DEMONETIZED. They make almost no money. Other videos are ❌DEMONETIZED during their peak traffic, then ✖️FORMERLY DEMONETIZED. This eliminates the majority of ad revenue. ?To support this channel, go to https://hotpot.team/? COMMENTS * I may delete overly hateful, name-calling, racist, overly anti-Chinese, or cult-related comments * I may delete irrelevant links, or links to anti-Chinese/racist channels or sources * I do not delete comments for disagreeing with me",Nope Brigade | Ph.D. Candidate
@nopebrigade • 21.6K subscribers,"Want to learn about authoritarianism, Christian nationalism, fascism, and the far right in the United States? Want to know what we can do to resist and create a better, more just society for us all? You’ve come to the right channel. Hi, I’m a Sociology Ph.D. Candidate and I go by Nope Brigade here and on TikTok. I study the far right, with a focus on Christian nationalism. Come learn with me through the apocalypse.",Patrick Boyle
@PBoyle • 956K subscribers,"Patrick Boyle is a hedge fund manager, a university professor and a former investment banker. This channel is all about quantitative finance. By subscribing you will see videos explaining what is happening in markets right now, you will learn about financial derivatives, corporate finance and how traders use quantitative tools like statistics. You will see interviews with some of the most interesting people in the financial industry. In addition, you will see some longer form documentaries on the history of financial markets. To contact Patrick go to the website http://onfinance.org DISCLAIMER: This channel is not affiliated with any financial institution. The videos on this channel are for entertainment purposes only and do not constitute financial advice. Those seeking investment advice should seek out a registered professional. Patrick is not responsible for investment actions taken by viewers and his content should not be used as a basis for investment.",PBS NewsHour
@PBSNewsHour • 4.87M subscribers,"Watch PBS News for daily, breaking and live news, plus special coverage. We are home to PBS News Hour, ranked the most credible and objective TV news show.",Perun
@PerunAU • 590K subscribers,"An Australian covering the military industrial complex and national military investment strategy. Since the outbreak of the conflict in Ukraine, I've been covering lessons from the conflict and how they may inform the future investment decisions that other nations may or should make. Gaming is a hobby of mine and that content is now at the channel PerunGamingAU (https://www.youtube.com/channel/UCPYJiiMoA0yOMHI-aiB44RQ). It should go without saying that all views expressed by me in any of this content are simply personal opinion and nothing I say at any point should be taken as financial advice.. If you'd like to support me and have extra input into the content I create, you can find me on Patreon at: https://www.patreon.com/PerunAU Business contact email for sponsor requests: perun@lighthouseagents.com general contact email for the channel: perunytb@gmail.com Submission email for data relating to the ongoing Ukraine-Russia war: perunsubmissions@gmail.com",Philosophy Tube
@PhilosophyTube • 1.66M subscribers,I'm giving away a philosophy degree for free! Subscribe to learn and boost your brain power!,PissedMagistus
@pissedmagistus • 18.5K subscribers,PolyMatter,@PolyMatter • 1.93M subscribers
How do I make my videos? https://skl.sh/2OW1YQR Website: https://www.polymatter.yt,Preston Stewart,@PrestonStewart • 922K subscribers
"Glad you're here! I'm Preston Stewart I make videos on this channel about the military, national security and foreign affairs. Hopefully some of these short clips make the topics easier for people to understand. I studied International Relations and Terrorism at West Point and from there entered the Army as a Field Artillery officer. Today, my family and I call Murfreesboro, Tennessee home.",Professor Gerdes Explains ?￰ﾟﾇﾦ,@Professor-Gerdes • 156K subscribers
"If you care about Ukraine, you are in the right place. I try to provide unique insights that help you understand the context. I am a Reagan-Republican who fully supports Ukraine. I am a conservative without a candidate I try to provide context to help you see what I see. I always ground my analysis in facts. To support my effort, you can: Support me on Patreon: https://www.patreon.com/ProfessorGerdesExplains Support me directly at PayPal: https://www.paypal.com/paypalme/professorgerdes or Buy Me A Coffee: https://www.buymeacoffee.com/dr.gerdes Thank you. I appreciate the encouragement. This takes a LOT of my time. -Dr. Gerdes P.S. I wrote a book on Zelenskyy and the war in Ukraine. If you would like to read the book, here is the link: https://amzn.to/3D6z7DE #ukraine #warinukraine #russiaukrainewar #russianinvasion #ukrainewar #latestnews #ukrainenews #gerdes #professorgerdes",Professor Tim Wilson,@ProfessorTimWilson • 179K subscribers
"Join me, Professor Tim Wilson, as I dissect today's headlines, offering my insights and perspectives on the latest in British politics and global affairs. With a keen eye and a bit of wit, we delve into the news that shapes our world. ? Subscribe to our channel to stay up-to-date with my latest reactions and analyses. Join our community of informed viewers who value depth, nuance, and a sprinkle of humour in their news consumption.",RANE,@RANENetwork • 163K subscribers
"RANE is a global risk intelligence company that provides risk and security professionals with critical insights and analysis to more efficiently anticipate, monitor, and respond to emerging threats. RANE's platform helps organizations identify, manage, and mitigate operational risks, with trusted intelligence that ensures business continuity and resiliency. We provide tools to harness the value of OSINT, analysis to provide context, forecasts to provide direction, and assessments to enable specific action. Find out more about RANE at https://www.ranenetwork.com/. Twitter: https://twitter.com/ranenetwork Facebook: https://www.facebook.com/TheRANENetwork LinkedIn: https://www.linkedin.com/company/47763 Subscribe to the RANE podcast here, or on any podcasting platform. Apple - https://podcasts.apple.com/us/podcast/rane-podcast-series/id1022071615 All materials on this Channel are © Copyright 2025 RANE. All Rights Reserved.",Rationality Rules,@rationalityrules • 380K subscribers
"Welcome to Rationality Rules, where we debunk and refute predominately religious and supernatural arguments. Thanks for taking the time to view my channel, and I hope you decide to subscribe for more :) Contact Steve directly via the email below (inquiries only, no brand offers, please): rationalityrulesyt@gmail.com For brand sponsorship inquiries, please contact below",Real Engineering,@RealEngineering • 4.84M subscribers
The home of innovation,Renegade Cut,@renegadecut • 310K subscribers
"BUSINESS OR SPONSORSHIP ENQUIRY: renegadecutmedia@gmail.com Renegade Cut is a video series about whatever I want. No point, only vibes.",Richard J Murphy,@RichardJMurphy • 220K subscribers
"Richard Murphy is a political economist and former practicing chartered accountant. He is Emeritus Professor of Accounting at Sheffield University Management and was previously Professor of Practice in International Political Economy at City, University of London. He co-founded the tax justice movement and created the concept of country by country reporting to tackle multinational corporation tax abuse. In this channel Richard uses that real world experience to explore themes in current political economy.",RichardDWolff,@RichardDWolff • 301K subscribers
"A lifelong professor of economics, Richard D. Wolff is a well-known critic of contemporary capitalism and the leading proponent of an alternative economic system based on Worker Self-Directed Enterprises (WSDEs). He is the host of Economic Update, and has been interviewed on several popular television programs that include: Real Time with Bill Maher, Bill Moyers’ Moyers & Company, The Charlie Rose Show, and Up with Chris Hayes. As the founding director of Democracy at Work (d@w), Wolff’s publications that advocate for making the workplace democratic include articles in Truthout.org, The Guardian, Common Dreams, as well as his recent book: Capitalism's Crisis Deepens The videos you'll find here also advocate for WSDEs as a key part of moving forward from the current model of capitalism to a new and better economy. For more information, please visit our websites: http://democracyatwork.info http://rdwolff.com",Robert Reich,@RBReich • 1.26M subscribers
"Inequality Media Civic Action is a nonprofit co-founded by former Secretary of Labor Robert Reich and Director Jacob Kornbluth following the success of their documentary film, Inequality For All. Inequality Media Civic Action uses the power of storytelling to inform and engage the public about the realities and impacts of inequality and imbalance of power in America. We believe in the power of storytelling to inform and engage. And we believe in the power of an informed and engaged public to bring about change because how we understand a problem dictates what options are on the table to fix it. Our ultimate vision is an economy that works for everyone.",Russell Matthews,@russellmatthews • 118K subscribers
"I initially created this channel to share what I've learned in the world of finance, investing, and real estate, all while documenting my successes, mistakes, and overall experiences. Now, this channel has expanded to cover all types of Canadian focused news and macroeconomics, as well as Canadian social, fiscal, and monetary policy.",Sabine Hossenfelder,@SabineHossenfelder • 1.7M subscribers
"As simple as possible, but not any simpler! Science and technology updates and summaries. No hype, no spin, no tip-toeing around inconvenient truths. Currently 5 videos a week (Tue-Wed-Thu and Sat-Sun). Early access for channel members. Sabine Hossenfelder has a PhD in physics. She is author of the books ""Lost in Math: How Beauty Leads Physics Astray"" (Basic Books, 2018) and ""Existential Physics: A Scientist's Guide to Life's Biggest Questions"" (Viking, 2022). Represented by Media Mobilize.",Sen. Adam Schiff,@senadamschiff • 410K subscribers
Husband. Father. U.S. Senator for California. Fighting for an economy that works for everyone and for our democracy.,serpentza,@serpentza • 1.59M subscribers
"For Motorcycle adventures around the world, and a talk-show on two wheels go to ADVChina every Monday 11am PST / 1pm EST https://www.youtube.com/advchina For a realistic perspective on China and world travel from an American father and a Chinese mother with two half-Chinese daughters go to Laowhy86 every Wednesday 11am PST / 1pm EST https://www.youtube.com/laowhy86 For a no-nonsense on the street look at Chinese culture and beyond from China’s original YouTuber, join SerpentZA on Friday at 11am PST / 1pm EST https://www.youtube.com/serpentza",Silicon Curtain,@SiliconCurtain • 164K subscribers
"A channel about propaganda, digital disinformation, politics, corruption, hybrid warfare, weaponised conspiracy theories, social echo chambers and digital dystopias.",Suchomimus,@suchomimus9921 • 304K subscribers
"Regular updates on the Ukraine War, and the occasional dinosaur fossil!",TechAltar,@TechAltar • 779K subscribers
Analytical videos about tech companies. Host: Marton Barcza Writing & research: Tristan Rayner Music & editing: Edemski ***I am in no way associated with techaltar.com*** Operated by Tarsier Media GmbH. Impressum: https://tarsiermedia.com,The Chris Cuomo Project,@chriscuomo • 568K subscribers
"The Chris Cuomo Project is the official podcast of award-winning veteran broadcast journalist Chris Cuomo. Chris’ independent voice provides listeners with an up-close view of politics, global affairs, and American culture from a vantage point uniquely shaped by decades of insider experience.  Every Tuesday, Chris presents his signature take on today’s pressing current events — and explores how these stories are being covered by all sides of the media — through in-depth interviews with newsmakers, tastemakers, and other influential figures. On Thursdays, Chris shares insights into subjects that deeply matter to him personally, and answers YouTube comments and listener phone calls. Free from the constraints of a traditional media organization, The Chris Cuomo Project is home to independents, free agents, and those who don’t fit nicely on one side or the other. Let’s get after it.",The Constant Investor,@theconstantinvestor2605 • 86 subscribers
"The Constant Investor, the innovative new home of Alan Kohler’s investment analysis and economic commentary.",The Economist,@TheEconomist • 3.53M subscribers
"The Economist videos give authoritative insight and opinion on international news, politics, business, finance, science, technology and the connections between them. Subscribe to our channel to be the first to see our latest videos.",The Ezra Klein Show,@EzraKleinShow • 365K subscribers
A host who actually does the reading. Conversations worthy of the ideas they explore. Theories and frameworks that help you see the world a little bit differently — and a little more clearly. Got a suggestion for our next episode? Or a question you wish we’d find someone to explore? Email us at ezrakleinshow@nytimes.com.,The Hub Canada,@TheHubCanada • 62.9K subscribers
"Subscribe to this channel to get in-studio and in-depth versions of our popular podcasts. The Hub is for news consumers who want to go deeper into the issues that matter. Each day our journalists and editors cover the stories and ideas driving the public conversation. We do this through a combination of news journalism, expert commentary, podcasts, newsletters, videos, and social media. Canadians seem to like what The Hub has on offer with over two million users engaging with our platform each month. Visit www.thehub.ca to find out more about Canada’s fast growing news platform.",The Institute of Art and Ideas,@TheInstituteOfArtAndIdeas • 524K subscribers
"The Institute of Art and Ideas creates hundreds of educational debates, lectures, and interviews on Philosophy, Science, Politics, and Arts. Learn from world-leading thinkers on the big ideas. From Hitchens to Galloway, Penrose to Pigliucci, our experts will teach you feminism to foreign policy, and quantum physics to consciousness. And if you want even more ideas from the world's greatest thinkers, visit our website at IAI.tv Or listen to our podcast, Philosophy For Our Times. Links below!",The Line,@qnaline • 172K subscribers
"SUPPORT THE NETWORK Patreon: https://www.patreon.com/CallTheLine Become a Channel Member: https://www.youtube.com/c/TheLineCallInShows/join Send A Super Thanks (In Comments) SUPPORT PRODUCTION Paypal: https://www.paypal.me/mratheist Cashapp: https://cash.app/$jimmyasnow Amazon Wishlist: https://www.amazon.com/hz/wishlist/ls/3AXN5GUWNFFYA The Line has a Podcast YouTube - https://qnaline.com/linepodyoutube Spotify - https://qnaline.com/linepod Reddit- https://qnaline.com/linepodreddit Instagram - https://qnaline.com/linepodinsta Apple - https://qnaline.com/linepodapple MORE LIVE SHOWS & CLIPS https://www.youtube.com/@calltheline CONTACT US contact@qnaline.com The Line 110 N Interstate 35 Suite 315-1027 Round Rock, TX 78681 SHOWS ON THE LINE Sundays: The Sunday Show + The Sunday Show After Dark Monday: Skeptalk Tuesday: Chewed Gum Wednesday: The Hang Up Thursday: The Trans Atlantic Call In Show (TACIS) Look out for “HOSTility” and “Cus I Wanna” any day, any time #CallTheLine",The Market Exit,@TheMarketExit • 160K subscribers
"I’m Andres Acevedo, a lawyer who makes short documentaries about law, economics and fairness for my own channel, The Market Exit. You can help me make videos for The Market Exit by becoming a Patreon. Or, if you live in Sweden, you can Swish me a donation on 123-333 34 65. - How you can SUPPORT me ? Patreon: https://www.patreon.com/themarketexit ? Swish (swe only): 123-333 34 65 - Where you can FIND me ? Instagram: https://www.instagram.com/themarketexit ? Facebook: https://www.facebook.com/themarketexit ? My personal webpage: https://andresacevedo.com ? My channel webpage: https://themarketexit.com ? LinkedIn: https://linkedin.com/in/andresace ? Twitter: https://twitter.com/themarketexit ? Twitter: https://twitter.com/andresswe ? Email: hello@andresacevedo.com.”",The Present Past,@ThePresentPast_ • 386K subscribers
"Hi there. My name is Jochem. I make the show The Present Past, a show where I research how the present has been influenced by the past. History but connected to the present and fun! Every episode I show how history has influenced and made a thing, an idea or event in our present time. Let me know if you have a topic you'd like to share! Even though I actually have been educated as a historian and do my research, I can and will make mistakes. So don't take the word of a youtube historian as the absolute end-all truth. You probably shouldn't do that with any (internet) person. https://www.dropbox.com/request/nMMMSpoNWUJHBIZ8hJRu",The Prof G Pod – Scott Galloway,@TheProfGPod • 530K subscribers
"NYU Professor, best-selling author, business leader and serial entrepreneur Scott Galloway cuts through the biggest stories in tech, business, and investing with unfiltered insights, bold predictions and thoughtful advice. Podcasts include Markets with co-host Ed Elson, Raging Moderates with co-Host Jessica Tarlov, Prof G Conversations and Office Hours with Prof G.",The Realignment,@therealignment • 70.8K subscribers
Hosted by Marshall Kosloff and Saagar Enjeti. Powered by Lincoln Network.,The Royal Institution,@TheRoyalInstitution • 1.65M subscribers
"Explosive short films, full length talks from the world’s leading scientists and writers, and videos to challenge the way you look at the world. The Royal Institution is a 200 year old independent charity creating opportunities for the public and scientists to explore science together, through events, education, and the CHRISTMAS LECTURES. Consider becoming a YouTube Member: https://www.youtube.com/channel/UCYeF244yNGuFefuFKqxIAXw/join Or support us by donating: https://www.rigb.org/join-and-support/donate-ri We're part of the Amazon Associates programme, if you click on geni.us links in our video descriptions we may earn a commission on purchases. This doesn't cost you anything and the proceeds go towards our charitable work. The Royal Institution of Great Britain is a registered charity, number: 227938.",The Weekend University,@TheWeekendUniversity • 139K subscribers
"Insights for Evolving Consciousness. In-depth interviews with leading thinkers at the intersection of psychology, neuroscience, culture, and spirituality. This show is for you if you’re interested in: – Reducing suffering — in yourself and others – Continuously upgrading your perspective – Realising more of your potential – Experiencing a greater sense of awe, meaning, and connection in everyday life. New episodes every Thursday: https://linktr.ee/theweekenduniversity",Tom Bilyeu,@TomBilyeu • 4.55M subscribers
"Impact Theory is committed to an unbiased pursuit of the truth. Tom Bilyeu approaches the most important issues in world affairs, finance, AI and Future tech, politics and mindset by breaking down these complex topics into their fundamental elements. By doing so and by connecting with some of the brightest minds of our time, he helps the audience develop a useful framework for how the world really works.",Triggernometry,@triggerpod • 1.39M subscribers
"TRIGGERnometry is a free speech YouTube show and podcast. We believe in open, fact-based discussion of important and controversial issues. Comedians Konstantin Kisin (@konstantinkisin) and Francis Foster (@francisjfoster) create fun-but-serious conversations with fascinating guests, including former Presidential advisors and political experts, leading economists, psychologists, journalists, social and cultural commentators, YouTubers and others. We give our guests a chance to say what they think and explain why. Write to us at triggernometrypod@gmail.com or send us something in the post to: TRIGGERnometry, PO Box 653, TUNBRIDGE WELLS, TN9 9RN, United Kingdom",Two Minute Papers,@TwoMinutePapers • 1.65M subscribers
What a time to be alive!,UnHerd,@UnHerd • 474K subscribers
"As you may have guessed from our strange spelling, UnHerd aims to do two things: to push back against the herd mentality with new and bold thinking, and to provide a platform for otherwise unheard ideas, people and places. We think this approach is more needed than ever. Societies across the West are divided and stuck, and the established media is struggling to make sense of what’s happening. The governing ideologies of the past generation are too often either unquestioningly defended or rejected wholesale. It’s easy and safe to be in one or other of these two camps – defensive liberal or angry reactionary - but UnHerd is trying to do something different, and harder. We want to be bold enough to identify those things that have been lost, as well as gained, by the liberal world order of the past thirty years; but we strive to be always thoughtful rather than divisive. Welcome to UnHerd. We hope you find something that makes you think again. https://linktr.ee/unherdtv",USAFacts,@USAFacts_Official • 183K subscribers
"USAFacts is a not-for-profit, nonpartisan civic initiative making government data easy for all Americans to access and understand. We provide a data-driven portrait of the American population, US governments’ finances, and governments’ impact on society. Dig into the data at usafacts.org",Verge Science,@VergeScience • 1.14M subscribers
"Verge Science is the home base for our experiments and explorations into the future of science. That means energy, space, nature, the human mind and body, AI, and wherever else our stories take us. Subscribe to come along for the ride. Executive Producer: Eleanor Donovan Senior Producer: William Poor Producer: Mariya Abdulkaf Directors: Alexander Parkin, Cory Zapatka Science Editor: Mary Beth Griggs Reporters: Loren Grush, Justine Calma, Nicole Wetsman Director of Audience Development: Ruben Salvadori Social Media Manager: Denise Cervantes Audio Engineer: Andrew Marino",Veritasium,@veritasium • 18.2M subscribers
"An element of truth - videos about science, education, and anything else we find interesting.",VisualPolitik EN,@VisualPolitikEN • 1.45M subscribers
"Welcome to VisualPolitik! In this channel we'll be talking about politics, economics and things that are happening all around the world. Stay tuned! *VisualPolitik EN is a project produced by Bulaprojekts",Vlad Vexler,@VladVexler • 192K subscribers
"You are so welcome here! My mission is to guide you through the political challenges we all face in the 21st century. I’m a philosopher. My academic life focuses on the concept of freedom and I'm writing a book about Isaiah Berlin. I'm a British citizen living in London. I was born in Soviet Russia - I left before the collapse of the USSR. I continue to closely analyse Russian politics. Check out my second channel Vlad Vexler Chat, where I do Q&As and go into more depth with almost daily content. I also have specialist channels: Vlad Vexler Philosophy and Vlad Vexler Music. I do some work in musicology. My content is informed by my experience living with a debilitating neurological condition. I contracted it 20 years ago as a research student at Oxford. For years, I couldn't walk, talk or read. I manage this condition daily and it gives me a unique perspective on disability, the tragic element in life, as well as the beauty. ?",Vlad Vexler Chat,@VladVexlerChat • 110K subscribers
