"Path","SizeKB","Modified"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\GroupBuild_Welcome_Agreement.pdf","3.51","2025-06-27T20:14:09"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\image (2).png","286.99","2024-09-20T13:59:09"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\image.png","286.99","2024-09-20T13:58:46"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\Insight_Glossary_Metaphysics.md","0.87","2025-07-18T21:37:32"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\Insight_Radiant_Network.md","0.71","2025-07-18T21:37:30"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\LifeByGrumps_ReorderedBooklet.odt","9.39","2025-06-04T16:33:41"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\MakeScience.png","3231.07","2025-06-04T15:25:25"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\MeowUpload.png","3002.79","2025-06-04T12:49:43"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\Number 1.2, 1.3 with answers.pdf","613.03","2024-10-01T18:13:04"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\Number B1.1 with answers (2).pdf","605.67","2024-10-01T18:12:31"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\Number B1.1 with answers (3).pdf","605.67","2024-10-27T16:20:36"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\Number B1.1 with answers.pdf","605.67","2024-09-14T11:15:49"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\OffendedUpsnuffacusToothbrush.png","2493.31","2025-06-04T15:52:32"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\ON_MVP_FinalOverview_v5_structured (2).odt","2.76","2025-06-18T16:42:59"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\ON_MVP_FinalOverview_v5_structured.odt","2.76","2025-06-18T16:40:48"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\ON_MVP_Overview_v1.odt","36.85","2025-06-18T15:32:37"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\ON_UX_Flow_v1_resaved (2).png","66.25","2025-06-18T16:41:51"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\ON_UX_Flow_v1_resaved.png","66.25","2025-06-18T15:38:04"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\ON_UX_Flow_v1.png","66.34","2025-06-18T15:33:35"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\PotatoeWakeUp.png","2985.71","2025-06-04T16:20:36"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\ReBirth_Cover.png","1691.97","2025-07-21T02:18:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\ReBirth_Scroll_CiviumRepo_COMPLETE_FINAL_c9_20250721.md","3.51","2025-07-21T03:23:43"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\ReBirth_Scroll_CiviumRepo_FINAL_CORRECTED_FULL_20250721.md","3.51","2025-07-21T03:26:50"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\ReBirth_Scroll_CiviumRepo_FINAL_VERIFIED_FULL_20250721.md","3.51","2025-07-21T03:24:35"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\ReBirth_Scroll_CiviumRepo_FULL_VERIFIED_c9_20250721.md","3.51","2025-07-21T03:22:42"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\ReBirth_Scroll_CiviumRepo_VERIFIED_c9_20250721.md","3.51","2025-07-21T03:20:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\red_shield_icon_sheet_hover_effects_half2.png","0.26","2025-05-31T18:54:04"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\red_shield_icon_sheet_hover_effects.png","0.26","2025-05-31T18:48:14"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\Scan102012.pdf","253.78","2025-04-03T11:01:11"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\Scan102030.pdf","78.78","2025-04-03T10:59:43"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\SleepWalkFuture.png","2965.01","2025-06-04T11:41:05"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\steve (2).png","0.89","2024-05-11T12:36:47"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\steve.png","0.66","2024-01-20T16:41:33"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\GB_UserRoles_DevGuide_Package\A_2D_digital_graphic_displays_a_badging_system_in_.png","1140.23","2025-06-17T11:57:38"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\GB_UserRoles_DevGuide_Package\A_2D_digital_graphic_table_displays_UI_blocks_for_.png","1258.62","2025-06-17T11:57:38"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\GB_UserRoles_DevGuide_Package\A_digital_flowchart_outlines_user_role_transition_.png","1150.01","2025-06-17T11:57:38"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\GB_UserRoles_DevGuide_Package\A_table_in_a_digital_graphic_illustrates_avatar_ru.png","1228.93","2025-06-17T11:57:38"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\Nicholas_Case_Advocacy_Package\Nicholas_Class_Action_Template.txt","1.88","2025-06-09T10:46:01"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\Nicholas_Case_Advocacy_Package\Nicholas_HRTO_Form1_Draft.txt","3.32","2025-06-09T10:46:01"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\Nicholas_Case_Advocacy_Package\Nicholas_Media_Statement.txt","2.16","2025-06-09T10:46:01"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\a8477d49-54db-4a44-a454-3d510788ff04.md","0.54","2025-07-14T08:36:53"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\America_Party_Report_v7.odt","4.15","2025-07-06T12:51:31"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\America_Party_Strategy_v7.odt","4.15","2025-07-06T13:00:23"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\backups_README.md","1.07","2025-07-17T00:07:01"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\CC_Section3_2_Addition.md","0.75","2025-07-15T23:58:58"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\CC_Section3_3_Addition.md","0.69","2025-07-16T00:01:59"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\CC_Section3_Addition.md","1.01","2025-07-15T23:58:18"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\CC_Section4_2_Continuity.md","0.58","2025-07-16T00:03:46"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\CC_Section4_4_VoiceWeight.md","0.48","2025-07-16T00:10:44"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\CC_Section4_Identity.md","0.79","2025-07-16T00:03:29"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\CC_Section5_Consent.md","0.9","2025-07-16T00:11:29"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\CC_Section6_Resolution.md","0.89","2025-07-16T00:13:02"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\CC_Section7_2_Coevolution.md","0.79","2025-07-16T00:15:01"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\CC_Update_Instructions.md","1.72","2025-07-13T11:43:09"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\Civium_Lexicon.md","7.01","2025-07-18T17:54:12"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\Cognocarta_Consenti_FULLSCROLL - Copy.md","15.07","2025-07-16T00:16:02"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\Cognocarta_Consenti_FULLSCROLL.md","15.07","2025-07-16T00:16:02"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\Cognocarta_Section3_Full.md","2.45","2025-07-16T00:03:10"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\Cognocarta_Section4_Full.md","2.58","2025-07-16T00:11:08"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\Cognocarta_Section5_Full.md","2.47","2025-07-16T00:12:38"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\Cognocarta_Section6_Full.md","2.12","2025-07-16T00:14:22"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\community_references.txt","0.24","2025-07-10T12:27:12"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\Genexis_Origin_alpha20250716_1640EST.md","4.07","2025-07-16T19:08:48"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\Genexis_Origin_sd2025.197 (1).md","4.07","2025-07-16T19:08:57"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\Genexis_Origin_sd2025.197.md","4.07","2025-07-16T19:08:34"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\GitHubPost.txt","1.4","2025-07-09T18:27:32"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\Message_To_Future_Readers_commit.txt","0.35","2025-07-14T11:22:12"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\Mindhood_Matrix.md","1.91","2025-07-15T23:53:45"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\README_commit (2).txt","0.38","2025-07-15T21:38:29"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\README_commit.txt","0.38","2025-07-15T21:38:29"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\README_HARMONICS.md","1.05","2025-07-17T00:25:58"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\README_Insight.md","3.18","2025-07-18T01:01:22"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\SCROLL_RECOVERY_PROTOCOL.md","2.27","2025-07-16T19:08:40"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\this month\What_Is_Civium.md","0.54","2025-07-13T11:40:46"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.input.keyboard+20.png","1.97","2025-03-06T15:46:06"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.input.keyboard+24.png","1.99","2025-03-06T15:46:06"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.input.keyboard+sdf2.png","7.36","2025-03-06T15:46:06"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.input.microphone+20.png","2.44","2025-03-06T15:46:06"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.input.microphone+24.png","2.45","2025-03-06T15:46:06"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.input.microphone+sdf2.png","16.84","2025-03-06T15:46:06"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.input.midi+16.png","1.97","2025-03-06T15:46:06"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.input.midi+20.png","1.98","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.input.midi+24.png","1.98","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.input.midi+sdf2.png","7.06","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.input.mouse+20.png","2.26","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.input.mouse+24.png","2.31","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.input.mouse+sdf2.png","12.12","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.neural.ovrlipsync.png","2.71","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.neural.ovrlipsync+20.png","1.86","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.neural.ovrlipsync+24.png","1.9","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.neural.silerovad.png","3.43","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.neural.silerovad+20.png","2.08","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.neural.silerovad+38.png","2.61","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.pt.txt","0.86","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.ws+20.png","2.02","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.ws+24.png","2.08","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\nodes.ws+sdf2.png","18.03","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\objects.en.txt","0.91","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\DownloadsOld\veadotube-mini-win-x64\text\veado.en.txt","1.7","2025-03-06T15:46:07"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\# scriptsreadme_fix.ps1.txt","3.64","2025-08-19T06:45:18"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\# scriptsreadme_lint.ps1.txt","1.6","2025-08-19T06:57:57"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\cc_mark.svg","2022.22","2025-08-15T22:56:30"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\CoCivium_Main_Root_README_canonical.md","8.33","2025-08-19T03:11:26"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\CoCivium_README_proposed_20250818_1851.md","8.63","2025-08-18T14:52:04"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\CoCivium_README_proposed_20250818_1852.md","10.72","2025-08-18T15:28:05"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\CoCivium_README_proposed_20250819_0226.md","7.93","2025-08-19T02:26:52"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\CoCiviumMainRootREADME.odt","30.37","2025-08-15T21:01:00"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\cognocarta_scroll_og.png","942.75","2025-08-15T22:53:01"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\Digital_Scroll_2400px_1256px.png","9532.96","2025-08-15T22:55:15"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\MainRootREADME_redraft1.odt","30.21","2025-08-19T01:10:39"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\README_edited_by_Rick.txt","8.65","2025-08-19T22:00:45"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\README_reconst.md","8.86","2025-08-19T11:43:34"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\README_reconst2.md","8.85","2025-08-19T17:10:02"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\README_reconst3.md","8.89","2025-08-19T17:55:30"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\README_reconstitution.txt","9.03","2025-08-19T11:26:05"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\README.md","3.68","2025-08-10T22:22:57"
"\\Server\homes\RB\2025 Project CoCivium Repo\RootREADME Old Drafts\RootReadme.odt","24.76","2025-08-18T00:56:14"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\AI_Prepublication_Scratchpad_commit.txt","0.13","2025-07-20T05:49:40"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\Coherence_Track.md","0.99","2025-07-20T05:48:17"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\Commit_Log_250714_RepoUpgrade.txt","1.39","2025-07-20T05:49:58"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\Log_Work_Done.md","1.42","2025-07-20T05:49:58"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\Log_Work_Pending.md","1.99","2025-07-20T05:49:58"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\MAINTAINERS.md","0.47","2025-07-20T05:48:17"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\MASTER_TODO_MERGED_20250719.md","1.42","2025-07-20T05:59:31"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\MASTER_TODO_UPDATED_20250719.md","2.11","2025-07-20T05:46:35"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\MASTER_TODO_UPDATED.md","3.03","2025-07-20T05:35:44"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\MASTER_TODO.md","2.41","2025-07-20T05:47:06"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\PENDING_IDEAS__.md","0.4","2025-07-20T05:54:37"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\PENDING_IDEAS_.md","0.4","2025-07-20T05:48:17"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\PENDING_IDEAS.md","0.4","2025-07-20T05:56:58"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\REGEN20250718_MANIFEST__.md","1.13","2025-07-20T05:55:21"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\REGEN20250718_MANIFEST_.md","1.13","2025-07-20T05:48:17"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\REGEN20250718_MANIFEST.md","1.13","2025-07-20T05:56:58"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\SCROLL_RECOVERY_PROTOCOL.md","2.27","2025-07-20T05:50:25"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\ToDo_AI_Log old.md","1.42","2025-07-17T04:56:37"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\ToDo_AI_Log_UPDATED_20250719.md","1.3","2025-07-20T05:41:09"
"\\Server\homes\RB\2025 Project CoCivium Repo\ToDoDump\ToDo_AI_Log.md","1.42","2025-07-20T05:49:30"
"\\Server\homes\RB\2025 Project DnH\DarmerDog_Gary_Press.png","2495.24","2025-06-25T16:41:15"
"\\Server\homes\RB\2025 Project DnH\DnH_Figurehead_Contacts_v1.odt","1363.19","2025-06-26T12:24:55"
"\\Server\homes\RB\2025 Project DnH\DnH_Figurehead_Invite_v1.odt","2543.11","2025-06-26T12:24:05"
"\\Server\homes\RB\2025 Project DnH\DnH_Figurehead_Outreach_Plan_vFinal.odt_0.odt","27.57","2025-06-25T17:07:26"
"\\Server\homes\RB\2025 Project DnH\DnH_ShopnFeed_Plan_v1.odt","1374.92","2025-06-25T14:56:28"
"\\Server\homes\RB\2025 Project EntMent\EM_Logo_Dark.png","1102.05","2025-06-11T11:16:23"
"\\Server\homes\RB\2025 Project EntMent\EM_MVP_Overview.odt","5388.98","2025-06-15T18:29:04"
"\\Server\homes\RB\2025 Project EntMent\EM_MVP_Plan_v1.odt","5386.94","2025-06-20T14:14:12"
"\\Server\homes\RB\2025 Project EntMent\EntMent_Prompt_Spec_v2.odt","26.79","2025-06-09T14:44:43"
"\\Server\homes\RB\2025 Project EntMent\EntMent_StartupsBoard_Prompt_Spec_v3.odt","23.45","2025-06-09T15:02:16"
"\\Server\homes\RB\2025 Project EntMent\EntMent_StartupsBoard_Prompt_v3a.odt","12.83","2025-06-09T15:55:31"
"\\Server\homes\RB\2025 Project EntMent\EntMent_StartupsBoard_Spec_v3.odt","6713.45","2025-06-09T15:54:13"
"\\Server\homes\RB\2025 Project EntMent\EntMent_StartupsBoard_Spec_v3a.odt","6711","2025-06-09T15:55:03"
"\\Server\homes\RB\2025 Project EntMent\EntMent.png","16.76","2018-03-16T04:25:58"
"\\Server\homes\RB\2025 Project EntMent\Logos.png","34.85","2024-12-11T12:19:40"
"\\Server\homes\RB\2025 Project EntMent\LogosVector.png","195.18","2024-12-11T12:27:47"
"\\Server\homes\RB\2025 Project EntMent\ProjectsInProgress.png","75.67","2024-12-17T12:36:43"
"\\Server\homes\RB\2025 Project EntMent\README.md","0.31","2025-09-11T01:19:08"
"\\Server\homes\RB\2025 Project EntMent\StartupsBoard Ideation.odt","22.01","2024-09-09T14:27:09"
"\\Server\homes\RB\2025 Project Godspawn_2009\AZOIC_Title_ClearBG.png","0.13","2025-09-11T05:57:53"
"\\Server\homes\RB\2025 Project Godspawn_2009\GodspawnAuthorBios.pdf","0.13","2025-09-11T06:04:18"
"\\Server\homes\RB\2025 Project Godspawn_2009\GodspawnChapterSummaries.pdf","0.13","2025-09-11T06:04:19"
"\\Server\homes\RB\2025 Project Godspawn_2009\GodspawnCritique.pdf","0.13","2025-09-11T06:04:19"
"\\Server\homes\RB\2025 Project Godspawn_2009\GodspawnIII_chapters_v1.odt","26.13","2025-07-07T15:25:21"
"\\Server\homes\RB\2025 Project Godspawn_2009\GodspawnReviews.pdf","0.13","2025-09-11T06:04:19"
"\\Server\homes\RB\2025 Project Godspawn_2009\GodspawnSynopsis.pdf","0.13","2025-09-11T06:04:19"
"\\Server\homes\RB\2025 Project Godspawn_2009\GS_3D_Novel.png","0.13","2025-09-11T05:57:55"
"\\Server\homes\RB\2025 Project Godspawn_2009\GS_Back_Cover_251106.odt","15.86","2025-06-11T14:31:46"
"\\Server\homes\RB\2025 Project Godspawn_2009\GS_Back_Cover_Background.png","0.13","2025-09-11T05:57:55"
"\\Server\homes\RB\2025 Project Godspawn_2009\GS_Back_Cover_Gold_Star.png","0.13","2025-09-11T05:57:55"
"\\Server\homes\RB\2025 Project Godspawn_2009\GS_Back_Cover_Overlay_Text.png","0.13","2025-09-11T05:57:55"
"\\Server\homes\RB\2025 Project Godspawn_2009\GS_Binding_Cover_900pages.png","0.13","2025-09-11T05:57:55"
"\\Server\homes\RB\2025 Project Godspawn_2009\GS_Front_Cover_Gold_Scar.png","0.13","2025-09-11T05:57:55"
"\\Server\homes\RB\2025 Project Godspawn_2009\GS_Spine_Background.png","0.13","2025-09-11T05:57:55"
